UNIPROT_ID	Name	Species
CREG1_HUMAN	cellular repressor of E1A stimulated genes 1(CREG1)	Homo sapiens
K2C72_HUMAN	keratin 72(KRT72)	Homo sapiens
TRPT1_HUMAN	tRNA phosphotransferase 1(TRPT1)	Homo sapiens
URP2_HUMAN	fermitin family member 3(FERMT3)	Homo sapiens
ABCA1_HUMAN	ATP binding cassette subfamily A member 1(ABCA1)	Homo sapiens
ABCF1_HUMAN	ATP binding cassette subfamily F member 1(ABCF1)	Homo sapiens
NRP2_HUMAN	neuropilin 2(NRP2)	Homo sapiens
ACACA_HUMAN	acetyl-CoA carboxylase alpha(ACACA)	Homo sapiens
FA50B_HUMAN	family with sequence similarity 50 member B(FAM50B)	Homo sapiens
SNP23_HUMAN	synaptosome associated protein 23(SNAP23)	Homo sapiens
SH2D7_HUMAN	SH2 domain containing 7(SH2D7)	Homo sapiens
CO4B_HUMAN	complement component 4B (Chido blood group), copy 2(C4B_2)	Homo sapiens
KLHL3_HUMAN	kelch like family member 3(KLHL3)	Homo sapiens
ACON_HUMAN	aconitase 2(ACO2)	Homo sapiens
PERM_HUMAN	myeloperoxidase(MPO)	Homo sapiens
RAPH1_HUMAN	Ras association (RalGDS/AF-6) and pleckstrin homology domains 1(RAPH1)	Homo sapiens
YH006_HUMAN	Putative chemokine-related protein FP248(FP248)	Homo sapiens
TLN2_HUMAN	talin 2(TLN2)	Homo sapiens
ACTA_HUMAN	actin, alpha 2, smooth muscle, aorta(ACTA2)	Homo sapiens
FBX10_HUMAN	F-box protein 10(FBXO10)	Homo sapiens
ACTS_HUMAN	actin, alpha 1, skeletal muscle(ACTA1)	Homo sapiens
MRC1_HUMAN	mannose receptor, C type 1(MRC1)	Homo sapiens
TEKT1_HUMAN	tektin 1(TEKT1)	Homo sapiens
ACTB_HUMAN	actin beta(ACTB)	Homo sapiens
ACTC_HUMAN	actin, alpha, cardiac muscle 1(ACTC1)	Homo sapiens
K2C71_HUMAN	keratin 71(KRT71)	Homo sapiens
RIPK1_HUMAN	receptor interacting serine/threonine kinase 1(RIPK1)	Homo sapiens
SPA12_HUMAN	serpin family A member 12(SERPINA12)	Homo sapiens
MSMB_HUMAN	microseminoprotein beta(MSMB)	Homo sapiens
MOES_HUMAN	moesin(MSN)	Homo sapiens
O6C76_HUMAN	olfactory receptor family 6 subfamily C member 76(OR6C76)	Homo sapiens
KRI1_HUMAN	KRI1 homolog(KRI1)	Homo sapiens
ACTN4_HUMAN	actinin alpha 4(ACTN4)	Homo sapiens
ACY1_HUMAN	aminoacylase 1(ACY1)	Homo sapiens
GASP2_HUMAN	ARMCX5-GPRASP2 readthrough(ARMCX5-GPRASP2)	Homo sapiens
ACTN2_HUMAN	actinin alpha 2(ACTN2)	Homo sapiens
GAPR1_HUMAN	GLI pathogenesis related 2(GLIPR2)	Homo sapiens
ADA10_HUMAN	ADAM metallopeptidase domain 10(ADAM10)	Homo sapiens
ADA_HUMAN	adenosine deaminase(ADA)	Homo sapiens
GIPC3_HUMAN	GIPC PDZ domain containing family member 3(GIPC3)	Homo sapiens
TCTE1_HUMAN	t-complex-associated-testis-expressed 1(TCTE1)	Homo sapiens
NOL4_HUMAN	nucleolar protein 4(NOL4)	Homo sapiens
WNK1_HUMAN	WNK lysine deficient protein kinase 1(WNK1)	Homo sapiens
CTNL1_HUMAN	catenin alpha like 1(CTNNAL1)	Homo sapiens
RMP_HUMAN	URI1, prefoldin like chaperone(URI1)	Homo sapiens
CATF_HUMAN	cathepsin F(CTSF)	Homo sapiens
MYH13_HUMAN	myosin heavy chain 13(MYH13)	Homo sapiens
MYO1B_HUMAN	myosin IB(MYO1B)	Homo sapiens
MCE1_HUMAN	RNA guanylyltransferase and 5'-phosphatase(RNGTT)	Homo sapiens
ADH1A_HUMAN	alcohol dehydrogenase 1A (class I), alpha polypeptide(ADH1A)	Homo sapiens
RTP3_HUMAN	receptor transporter protein 3(RTP3)	Homo sapiens
AP3D1_HUMAN	adaptor related protein complex 3 delta 1 subunit(AP3D1)	Homo sapiens
PARP1_HUMAN	poly(ADP-ribose) polymerase 1(PARP1)	Homo sapiens
IF2M_HUMAN	mitochondrial translational initiation factor 2(MTIF2)	Homo sapiens
IGFN1_HUMAN	immunoglobulin-like and fibronectin type III domain containing 1(IGFN1)	Homo sapiens
NU1M_HUMAN	NADH dehydrogenase, subunit 1 (complex I)(ND1)	Homo sapiens
MKS3_HUMAN	transmembrane protein 67(TMEM67)	Homo sapiens
