ID	Gene Name	Species
OASL_HUMAN	2'-5'-oligoadenylate synthetase like(OASL)	Homo sapiens	
AKA12_HUMAN	A-kinase anchoring protein 12(AKAP12)	Homo sapiens	
AKP13_HUMAN	A-kinase anchoring protein 13(AKAP13)	Homo sapiens	
AKAP9_HUMAN	A-kinase anchoring protein 9(AKAP9)	Homo sapiens	
TARSH_HUMAN	ABI family member 3 binding protein(ABI3BP)	Homo sapiens	
ADEC1_HUMAN	ADAM like decysin 1(ADAMDEC1)	Homo sapiens	
ADA22_HUMAN	ADAM metallopeptidase domain 22(ADAM22)	Homo sapiens	
ATS13_HUMAN	ADAM metallopeptidase with thrombospondin type 1 motif 13(ADAMTS13)	Homo sapiens	
ATS17_HUMAN	ADAM metallopeptidase with thrombospondin type 1 motif 17(ADAMTS17)	Homo sapiens	
ATS18_HUMAN	ADAM metallopeptidase with thrombospondin type 1 motif 18(ADAMTS18)	Homo sapiens	
ATS9_HUMAN	ADAM metallopeptidase with thrombospondin type 1 motif 9(ADAMTS9)	Homo sapiens	
ATL4_HUMAN	ADAMTS like 4(ADAMTSL4)	Homo sapiens	
ATL5_HUMAN	ADAMTS like 5(ADAMTSL5)	Homo sapiens	
ARFP1_HUMAN	ADP ribosylation factor interacting protein 1(ARFIP1)	Homo sapiens	
NAR3_HUMAN	ADP-ribosyltransferase 3(ART3)	Homo sapiens	
NAR4_HUMAN	ADP-ribosyltransferase 4 (Dombrock blood group)(ART4)	Homo sapiens	
AFF4_HUMAN	AF4/FMR2 family member 4(AFF4)	Homo sapiens	
AHNK2_HUMAN	AHNAK nucleoprotein 2(AHNAK2)	Homo sapiens	
AHNK_HUMAN	AHNAK nucleoprotein(AHNAK)	Homo sapiens	
ANKH1_HUMAN	ANKHD1-EIF4EBP3 readthrough(ANKHD1-EIF4EBP3)	Homo sapiens	
GASP2_HUMAN	ARMCX5-GPRASP2 readthrough(ARMCX5-GPRASP2)	Homo sapiens	
ATMIN_HUMAN	ATM interactor(ATMIN)	Homo sapiens	
ABCF1_HUMAN	ATP binding cassette subfamily F member 1(ABCF1)	Homo sapiens	
CBPC2_HUMAN	ATP/GTP binding protein like 2(AGBL2)	Homo sapiens	
ATD2B_HUMAN	ATPase family, AAA domain containing 2B(ATAD2B)	Homo sapiens	
AT10A_HUMAN	ATPase phospholipid transporting 10A (putative)(ATP10A)	Homo sapiens	
AT10D_HUMAN	ATPase phospholipid transporting 10D (putative)(ATP10D)	Homo sapiens	
AT11B_HUMAN	ATPase phospholipid transporting 11B (putative)(ATP11B)	Homo sapiens	
AT8B3_HUMAN	ATPase phospholipid transporting 8B3(ATP8B3)	Homo sapiens	
UFO_HUMAN	AXL receptor tyrosine kinase(AXL)	Homo sapiens	
BTAF1_HUMAN	B-TFIID TATA-box binding protein associated factor 1(BTAF1)	Homo sapiens	
BSPRY_HUMAN	B-box and SPRY domain containing(BSPRY)	Homo sapiens	
BCL9_HUMAN	B-cell CLL/lymphoma 9(BCL9)	Homo sapiens	
BARX2_HUMAN	BARX homeobox 2(BARX2)	Homo sapiens	
BAG5_HUMAN	BCL2 associated athanogene 5(BAG5)	Homo sapiens	
BTBDA_HUMAN	BTB domain containing 10(BTBD10)	Homo sapiens	
BBS4_HUMAN	Bardet-Biedl syndrome 4(BBS4)	Homo sapiens	
CRP_HUMAN	C-reactive protein(CRP)	Homo sapiens	
CLC3A_HUMAN	C-type lectin domain family 3 member A(CLEC3A)	Homo sapiens	
C1QT3_HUMAN	C1q and tumor necrosis factor related protein 3(C1QTNF3)	Homo sapiens	
C1QT4_HUMAN	C1q and tumor necrosis factor related protein 4(C1QTNF4)	Homo sapiens	
CPMD8_HUMAN	C3 and PZP like, alpha-2-macroglobulin domain containing 8(CPAMD8)	Homo sapiens	
CLIP1_HUMAN	CAP-Gly domain containing linker protein 1(CLIP1)	Homo sapiens	
CATR1_HUMAN	CATR tumorigenicity conversion 1(CATR1)	Homo sapiens	
CTCFL_HUMAN	CCCTC-binding factor like(CTCFL)	Homo sapiens	
CD109_HUMAN	CD109 molecule(CD109)	Homo sapiens	
C163A_HUMAN	CD163 molecule(CD163)	Homo sapiens	
CD248_HUMAN	CD248 molecule(CD248)	Homo sapiens	
CLM9_HUMAN	CD300 molecule like family member g(CD300LG)	Homo sapiens	
CD5L_HUMAN	CD5 molecule like(CD5L)	Homo sapiens	
SLAF5_HUMAN	CD84 molecule(CD84)	Homo sapiens	
C1QR1_HUMAN	CD93 molecule(CD93)	Homo sapiens	
BORG4_HUMAN	CDC42 effector protein 4(CDC42EP4)	Homo sapiens	
CK5P2_HUMAN	CDK5 regulatory subunit associated protein 2(CDK5RAP2)	Homo sapiens	
CK5P3_HUMAN	CDK5 regulatory subunit associated protein 3(CDK5RAP3)	Homo sapiens	
CECR2_HUMAN	CECR2, histone acetyl-lysine reader(CECR2)	Homo sapiens	
COMD4_HUMAN	COMM domain containing 4(COMMD4)	Homo sapiens	
CSMD3_HUMAN	CUB and Sushi multiple domains 3(CSMD3)	Homo sapiens	
CDCP1_HUMAN	CUB domain containing protein 1(CDCP1)	Homo sapiens	
CELF4_HUMAN	CUGBP, Elav-like family member 4(CELF4)	Homo sapiens	
CWC22_HUMAN	CWC22 spliceosome associated protein homolog(CWC22)	Homo sapiens	
CABL2_HUMAN	Cdk5 and Abl enzyme substrate 2(CABLES2)	Homo sapiens	
DDTL_HUMAN	D-dopachrome tautomerase-like(DDTL)	Homo sapiens	
DC4L1_HUMAN	DDB1 and CUL4 associated factor 4 like 1(DCAF4L1)	Homo sapiens	
DCAF4_HUMAN	DDB1 and CUL4 associated factor 4(DCAF4)	Homo sapiens	
DDX1_HUMAN	DEAD-box helicase 1(DDX1)	Homo sapiens	
DDX10_HUMAN	DEAD-box helicase 10(DDX10)	Homo sapiens	
DDX24_HUMAN	DEAD-box helicase 24(DDX24)	Homo sapiens	
DDX27_HUMAN	DEAD-box helicase 27(DDX27)	Homo sapiens	
DDX31_HUMAN	DEAD-box helicase 31(DDX31)	Homo sapiens	
DDX41_HUMAN	DEAD-box helicase 41(DDX41)	Homo sapiens	
DDX53_HUMAN	DEAD-box helicase 53(DDX53)	Homo sapiens	
DHX33_HUMAN	DEAH-box helicase 33(DHX33)	Homo sapiens	
DEND3_HUMAN	DENN domain containing 3(DENND3)	Homo sapiens	
DEN5A_HUMAN	DENN domain containing 5A(DENND5A)	Homo sapiens	
DEPD5_HUMAN	DEP domain containing 5(DEPDC5)	Homo sapiens	
DDX21_HUMAN	DExD-box helicase 21(DDX21)	Homo sapiens	
RHG07_HUMAN	DLC1 Rho GTPase activating protein(DLC1)	Homo sapiens	
DLGP5_HUMAN	DLG associated protein 5(DLGAP5)	Homo sapiens	
DDT4L_HUMAN	DNA damage inducible transcript 4 like(DDIT4L)	Homo sapiens	
DTWD1_HUMAN	DTW domain containing 1(DTWD1)	Homo sapiens	
DMXL2_HUMAN	Dmx like 2(DMXL2)	Homo sapiens	
DNJB8_HUMAN	DnaJ heat shock protein family (Hsp40) member B8(DNAJB8)	Homo sapiens	
DJC14_HUMAN	DnaJ heat shock protein family (Hsp40) member C14(DNAJC14)	Homo sapiens	
EDAD_HUMAN	EDAR associated death domain(EDARADD)	Homo sapiens	
EFCB7_HUMAN	EF-hand calcium binding domain 7(EFCAB7)	Homo sapiens	
EFHC1_HUMAN	EF-hand domain containing 1(EFHC1)	Homo sapiens	
FBLN3_HUMAN	EGF containing fibulin like extracellular matrix protein 1(EFEMP1)	Homo sapiens	
EMSY_HUMAN	EMSY, BRCA2 interacting transcriptional repressor(EMSY)	Homo sapiens	
ES1_HUMAN	ES1 protein homolog, mitochondrial(LOC102724023)	Homo sapiens	
EVC_HUMAN	EvC ciliary complex subunit 1(EVC)	Homo sapiens	
FBX10_HUMAN	F-box protein 10(FBXO10)	Homo sapiens	
FA20A_HUMAN	FAM20A, golgi associated secretory pathway pseudokinase(FAM20A)	Homo sapiens	
FAT1_HUMAN	FAT atypical cadherin 1(FAT1)	Homo sapiens	
FAT2_HUMAN	FAT atypical cadherin 2(FAT2)	Homo sapiens	
FER_HUMAN	FER tyrosine kinase(FER)	Homo sapiens	
FRPD1_HUMAN	FERM and PDZ domain containing 1(FRMPD1)	Homo sapiens	
FRPD3_HUMAN	FERM and PDZ domain containing 3(FRMPD3)	Homo sapiens	
FRMD5_HUMAN	FERM domain containing 5(FRMD5)	Homo sapiens	
FRMD7_HUMAN	FERM domain containing 7(FRMD7)	Homo sapiens	
FARP1_HUMAN	FERM, ARH/RhoGEF and pleckstrin domain protein 1(FARP1)	Homo sapiens	
FKBP9_HUMAN	FK506 binding protein 9(FKBP9)	Homo sapiens	
FREM3_HUMAN	FRAS1 related extracellular matrix 3(FREM3)	Homo sapiens	
FRYL_HUMAN	FRY like transcription coactivator(FRYL)	Homo sapiens	
FRY_HUMAN	FRY microtubule binding protein(FRY)	Homo sapiens	
FTO_HUMAN	FTO, alpha-ketoglutarate dependent dioxygenase(FTO)	Homo sapiens	
FGD2_HUMAN	FYVE, RhoGEF and PH domain containing 2(FGD2)	Homo sapiens	
FCAMR_HUMAN	Fc fragment of IgA and IgM receptor(FCAMR)	Homo sapiens	
FCGBP_HUMAN	Fc fragment of IgG binding protein(FCGBP)	Homo sapiens	
FAIM3_HUMAN	Fc fragment of IgM receptor(FCMR)	Homo sapiens	
FRAS1_HUMAN	Fraser extracellular matrix complex subunit 1(FRAS1)	Homo sapiens	
CSN1_HUMAN	G protein pathway suppressor 1(GPS1)	Homo sapiens	
GP158_HUMAN	G protein-coupled receptor 158(GPR158)	Homo sapiens	
GPTC4_HUMAN	G-patch domain containing 4(GPATCH4)	Homo sapiens	
GRSF1_HUMAN	G-rich RNA sequence binding factor 1(GRSF1)	Homo sapiens	
